"Taxa","hab","num_spec"
"Ants","BLW",54
"Ants","CWL",48
"Ants","A",45
"Ants","IG",50
"Ants","FW",46
"Ants","SNG",41
"Ants","MHB",37
"Ants","C",42
"Ants","BU",59
"Ants","UK",60
"AquaticBugs","BLW",86
"AquaticBugs","CWL",75
"AquaticBugs","A",79
"AquaticBugs","IG",82
"AquaticBugs","FW",78
"AquaticBugs","SNG",77
"AquaticBugs","MHB",66
"AquaticBugs","C",72
"AquaticBugs","BU",83
"AquaticBugs","UK",92
"Bees","BLW",234
"Bees","CWL",212
"Bees","A",230
"Bees","IG",232
"Bees","FW",219
"Bees","SNG",216
"Bees","MHB",192
"Bees","C",224
"Bees","BU",236
"Bees","UK",242
"Bryophytes","BLW",844
"Bryophytes","CWL",811
"Bryophytes","A",681
"Bryophytes","IG",819
"Bryophytes","FW",781
"Bryophytes","SNG",898
"Bryophytes","MHB",890
"Bryophytes","C",694
"Bryophytes","BU",782
"Bryophytes","UK",999
"Carabids","BLW",325
"Carabids","CWL",283
"Carabids","A",308
"Carabids","IG",314
"Carabids","FW",298
"Carabids","SNG",280
"Carabids","MHB",226
"Carabids","C",276
"Carabids","BU",326
"Carabids","UK",346
"Centipedes","BLW",47
"Centipedes","CWL",33
"Centipedes","A",40
"Centipedes","IG",46
"Centipedes","FW",34
"Centipedes","SNG",35
"Centipedes","MHB",28
"Centipedes","C",41
"Centipedes","BU",45
"Centipedes","UK",51
"Craneflies","BLW",331
"Craneflies","CWL",303
"Craneflies","A",299
"Craneflies","IG",327
"Craneflies","FW",287
"Craneflies","SNG",290
"Craneflies","MHB",267
"Craneflies","C",223
"Craneflies","BU",312
"Craneflies","UK",342
"Dragonflies","BLW",52
"Dragonflies","CWL",47
"Dragonflies","A",47
"Dragonflies","IG",52
"Dragonflies","FW",49
"Dragonflies","SNG",46
"Dragonflies","MHB",42
"Dragonflies","C",46
"Dragonflies","BU",49
"Dragonflies","UK",54
"E&D","BLW",621
"E&D","CWL",531
"E&D","A",564
"E&D","IG",601
"E&D","FW",530
"E&D","SNG",520
"E&D","MHB",410
"E&D","C",434
"E&D","BU",595
"E&D","UK",650
"Ephemeroptera","BLW",45
"Ephemeroptera","CWL",43
"Ephemeroptera","A",43
"Ephemeroptera","IG",44
"Ephemeroptera","FW",40
"Ephemeroptera","SNG",38
"Ephemeroptera","MHB",39
"Ephemeroptera","C",26
"Ephemeroptera","BU",45
"Ephemeroptera","UK",45
"Fish","BLW",56
"Fish","CWL",42
"Fish","A",55
"Fish","IG",55
"Fish","FW",52
"Fish","SNG",45
"Fish","MHB",25
"Fish","C",40
"Fish","BU",60
"Fish","UK",67
"FungusGnats","BLW",486
"FungusGnats","CWL",444
"FungusGnats","A",404
"FungusGnats","IG",460
"FungusGnats","FW",381
"FungusGnats","SNG",412
"FungusGnats","MHB",393
"FungusGnats","C",281
"FungusGnats","BU",434
"FungusGnats","UK",521
"Gelechiids","BLW",139
"Gelechiids","CWL",114
"Gelechiids","A",127
"Gelechiids","IG",139
"Gelechiids","FW",119
"Gelechiids","SNG",105
"Gelechiids","MHB",86
"Gelechiids","C",118
"Gelechiids","BU",144
"Gelechiids","UK",150
"Hoverflies","BLW",266
"Hoverflies","CWL",256
"Hoverflies","A",249
"Hoverflies","IG",259
"Hoverflies","FW",245
"Hoverflies","SNG",245
"Hoverflies","MHB",234
"Hoverflies","C",232
"Hoverflies","BU",259
"Hoverflies","UK",272
"HypogeanCrustacea","BLW",9
"HypogeanCrustacea","CWL",8
"HypogeanCrustacea","A",9
"HypogeanCrustacea","IG",9
"HypogeanCrustacea","FW",9
"HypogeanCrustacea","SNG",9
"HypogeanCrustacea","MHB",8
"HypogeanCrustacea","C",6
"HypogeanCrustacea","BU",8
"HypogeanCrustacea","UK",9
"Ladybirds","BLW",47
"Ladybirds","CWL",44
"Ladybirds","A",46
"Ladybirds","IG",48
"Ladybirds","FW",47
"Ladybirds","SNG",40
"Ladybirds","MHB",37
"Ladybirds","C",41
"Ladybirds","BU",49
"Ladybirds","UK",50
"LeafSeedBeetles","BLW",251
"LeafSeedBeetles","CWL",215
"LeafSeedBeetles","A",248
"LeafSeedBeetles","IG",255
"LeafSeedBeetles","FW",236
"LeafSeedBeetles","SNG",215
"LeafSeedBeetles","MHB",155
"LeafSeedBeetles","C",200
"LeafSeedBeetles","BU",259
"LeafSeedBeetles","UK",272
"Lichens","BLW",1755
"Lichens","CWL",1599
"Lichens","A",1288
"Lichens","IG",1620
"Lichens","FW",1445
"Lichens","SNG",1669
"Lichens","MHB",1717
"Lichens","C",1309
"Lichens","BU",1399
"Lichens","UK",2131
"Lichens","BLW",1755
"Lichens","CWL",1599
"Lichens","A",1288
"Lichens","IG",1620
"Lichens","FW",1445
"Lichens","SNG",1669
"Lichens","MHB",1717
"Lichens","C",1309
"Lichens","BU",1399
"Lichens","UK",2130
"Millipedes","BLW",58
"Millipedes","CWL",41
"Millipedes","A",51
"Millipedes","IG",55
"Millipedes","FW",49
"Millipedes","SNG",45
"Millipedes","MHB",33
"Millipedes","C",44
"Millipedes","BU",55
"Millipedes","UK",58
"Molluscs","BLW",234
"Molluscs","CWL",187
"Molluscs","A",226
"Molluscs","IG",242
"Molluscs","FW",209
"Molluscs","SNG",197
"Molluscs","MHB",166
"Molluscs","C",194
"Molluscs","BU",242
"Molluscs","UK",262
"Neuropterida","BLW",76
"Neuropterida","CWL",63
"Neuropterida","A",65
"Neuropterida","IG",70
"Neuropterida","FW",57
"Neuropterida","SNG",56
"Neuropterida","MHB",45
"Neuropterida","C",42
"Neuropterida","BU",74
"Neuropterida","UK",81
"Orthoptera","BLW",27
"Orthoptera","CWL",24
"Orthoptera","A",27
"Orthoptera","IG",27
"Orthoptera","FW",25
"Orthoptera","SNG",23
"Orthoptera","MHB",23
"Orthoptera","C",26
"Orthoptera","BU",27
"Orthoptera","UK",28
"PlantBugs","BLW",392
"PlantBugs","CWL",338
"PlantBugs","A",370
"PlantBugs","IG",378
"PlantBugs","FW",345
"PlantBugs","SNG",330
"PlantBugs","MHB",250
"PlantBugs","C",303
"PlantBugs","BU",392
"PlantBugs","UK",413
"Plecoptera","BLW",31
"Plecoptera","CWL",28
"Plecoptera","A",30
"Plecoptera","IG",31
"Plecoptera","FW",30
"Plecoptera","SNG",31
"Plecoptera","MHB",31
"Plecoptera","C",25
"Plecoptera","BU",30
"Plecoptera","UK",32
"RoveBeetles","BLW",690
"RoveBeetles","CWL",430
"RoveBeetles","A",630
"RoveBeetles","IG",641
"RoveBeetles","FW",493
"RoveBeetles","SNG",356
"RoveBeetles","MHB",383
"RoveBeetles","C",243
"RoveBeetles","BU",668
"RoveBeetles","UK",795
"ShieldBugs","BLW",63
"ShieldBugs","CWL",50
"ShieldBugs","A",59
"ShieldBugs","IG",62
"ShieldBugs","FW",55
"ShieldBugs","SNG",46
"ShieldBugs","MHB",36
"ShieldBugs","C",52
"ShieldBugs","BU",63
"ShieldBugs","UK",66
"SoldierBeetles","BLW",56
"SoldierBeetles","CWL",55
"SoldierBeetles","A",53
"SoldierBeetles","IG",53
"SoldierBeetles","FW",51
"SoldierBeetles","SNG",47
"SoldierBeetles","MHB",46
"SoldierBeetles","C",40
"SoldierBeetles","BU",56
"SoldierBeetles","UK",59
"Soldierflies","BLW",143
"Soldierflies","CWL",132
"Soldierflies","A",140
"Soldierflies","IG",142
"Soldierflies","FW",127
"Soldierflies","SNG",115
"Soldierflies","MHB",96
"Soldierflies","C",110
"Soldierflies","BU",140
"Soldierflies","UK",148
"Spiders","BLW",576
"Spiders","CWL",528
"Spiders","A",538
"Spiders","IG",561
"Spiders","FW",530
"Spiders","SNG",512
"Spiders","MHB",483
"Spiders","C",488
"Spiders","BU",573
"Spiders","UK",622
"Trichoptera","BLW",178
"Trichoptera","CWL",168
"Trichoptera","A",159
"Trichoptera","IG",176
"Trichoptera","FW",169
"Trichoptera","SNG",171
"Trichoptera","MHB",157
"Trichoptera","C",130
"Trichoptera","BU",170
"Trichoptera","UK",186
"Wasps","BLW",260
"Wasps","CWL",227
"Wasps","A",244
"Wasps","IG",252
"Wasps","FW",239
"Wasps","SNG",210
"Wasps","MHB",200
"Wasps","C",202
"Wasps","BU",256
"Wasps","UK",263
"Weevils","BLW",573
"Weevils","CWL",482
"Weevils","A",545
"Weevils","IG",556
"Weevils","FW",507
"Weevils","SNG",464
"Weevils","MHB",352
"Weevils","C",463
"Weevils","BU",580
"Weevils","UK",617
"Butterflies","BLW",58
"Butterflies","CWL",56
"Butterflies","A",56
"Butterflies","IG",58
"Butterflies","FW",56
"Butterflies","SNG",56
"Butterflies","MHB",55
"Butterflies","C",55
"Butterflies","BU",57
"Butterflies","UK",58
"Moths","BLW",848
"Moths","CWL",778
"Moths","A",834
"Moths","IG",849
"Moths","FW",791
"Moths","SNG",778
"Moths","MHB",728
"Moths","C",803
"Moths","BU",856
"Moths","UK",894
